任務,資料方向,目標,平均閾值,中位數閾值,BalAcc,Sensitivity,Specificity
Task 1,Clinical_only,default0.5,0.5,0.5,0.77,0.611,0.929
Task 1,Clinical_only,youden,0.242,0.24,0.832,0.841,0.823
Task 1,Clinical_only,sens@0.90,0.154,0.15,0.82,0.901,0.739
Task 1,Clinical_only,spec@0.90,0.4,0.4,0.802,0.705,0.899
Task 1,APARC_ASEG_HIPPO,default0.5,0.5,0.5,0.749,0.57,0.928
Task 1,APARC_ASEG_HIPPO,youden,0.221,0.22,0.816,0.836,0.796
Task 1,APARC_ASEG_HIPPO,sens@0.90,0.135,0.13,0.788,0.901,0.675
Task 1,APARC_ASEG_HIPPO,spec@0.90,0.425,0.43,0.777,0.653,0.901
Task 1,APARC_ASEG_AMYG,default0.5,0.5,0.5,0.758,0.584,0.931
Task 1,APARC_ASEG_AMYG,youden,0.238,0.235,0.824,0.834,0.813
Task 1,APARC_ASEG_AMYG,sens@0.90,0.143,0.14,0.797,0.899,0.695
Task 1,APARC_ASEG_AMYG,spec@0.90,0.4,0.4,0.796,0.691,0.9
Task 2,Clinical_only,default0.5,0.5,0.5,0.727,0.954,0.5
Task 2,Clinical_only,youden,0.848,0.85,0.824,0.794,0.854
Task 2,Clinical_only,sens@0.90,0.695,0.7,0.795,0.903,0.686
Task 2,Clinical_only,spec@0.90,0.885,0.89,0.824,0.751,0.897
Task 2,HIPPO_ASEG,default0.5,0.5,0.5,0.721,0.96,0.482
Task 2,HIPPO_ASEG,youden,0.85,0.86,0.814,0.777,0.85
Task 2,HIPPO_ASEG,sens@0.90,0.686,0.69,0.79,0.904,0.675
Task 2,HIPPO_ASEG,spec@0.90,0.895,0.9,0.814,0.728,0.9
Task 3,Clinical_only,default0.5,0.5,0.5,0.719,0.941,0.496
Task 3,Clinical_only,youden,0.792,0.8,0.787,0.78,0.795
Task 3,Clinical_only,sens@0.90,0.608,0.61,0.752,0.905,0.599
Task 3,Clinical_only,spec@0.90,0.885,0.88,0.766,0.633,0.899
Task 3,HIPPO,default0.5,0.5,0.5,0.709,0.947,0.471
Task 3,HIPPO,youden,0.785,0.78,0.785,0.779,0.79
Task 3,HIPPO,sens@0.90,0.621,0.62,0.748,0.907,0.589
Task 3,HIPPO,spec@0.90,0.885,0.89,0.764,0.626,0.903
