任務,設定,最佳模型,BalAcc,Sensitivity,Specificity,AUC
Task 1,Clin33,RidgeClassifier,0.843,0.849,0.837,0.922
Task 1,FS_top30,GaussianNB,0.705,0.725,0.685,0.772
Task 1,Clin33_FS_top30,TabPFN,0.842,0.835,0.85,0.929
Task 1,NN_fusion,NN_fusion,0.806,0.82,0.792,0.909
Task 2,Clin33,RidgeClassifier,0.844,0.796,0.892,0.928
Task 2,FS_top30,GaussianNB,0.711,0.692,0.731,0.782
Task 2,Clin33_FS_top30,ElasticNetLogistic,0.834,0.772,0.896,0.926
Task 2,NN_fusion,NN_fusion,0.774,0.777,0.771,0.888
Task 3,Clin33,ExtraTrees,0.803,0.779,0.827,0.898
Task 3,FS_top40,ElasticNetLogistic,0.691,0.709,0.674,0.746
Task 3,Clin33_FS_top40,TabPFN,0.802,0.776,0.828,0.898
Task 3,NN_fusion,NN_fusion,0.748,0.778,0.718,0.852
